Time,RSSI
2026-4-15 15:42:02.436,-70.199996948242188
2026-4-15 15:42:02.447,-70.199996948242188
2026-4-15 15:42:02.459,-70.199996948242188
2026-4-15 15:42:02.467,-70.199996948242188
2026-4-15 15:42:02.477,-70.300003051757812
2026-4-15 15:42:02.487,-70.300003051757812
2026-4-15 15:42:02.499,-70.300003051757812
2026-4-15 15:42:02.508,-70.199996948242188
2026-4-15 15:42:02.518,-70.300003051757812
2026-4-15 15:42:02.529,-70.300003051757812
2026-4-15 15:42:02.539,-70.300003051757812
2026-4-15 15:42:02.548,-70.300003051757812
2026-4-15 15:42:02.559,-70.300003051757812
2026-4-15 15:42:02.586,-70.300003051757812
2026-4-15 15:42:02.589,-70.300003051757812
2026-4-15 15:42:02.591,-70.300003051757812
2026-4-15 15:42:02.599,-70.300003051757812
2026-4-15 15:42:02.609,-70.300003051757812
2026-4-15 15:42:02.619,-70.300003051757812
2026-4-15 15:42:02.631,-70.199996948242188
2026-4-15 15:42:02.639,-70.300003051757812
2026-4-15 15:42:02.652,-70.199996948242188
2026-4-15 15:42:02.661,-70.199996948242188
2026-4-15 15:42:02.670,-70.199996948242188
2026-4-15 15:42:02.681,-70.199996948242188
2026-4-15 15:42:02.690,-70.199996948242188
2026-4-15 15:42:02.701,-70.199996948242188
2026-4-15 15:42:02.712,-70.199996948242188
2026-4-15 15:42:02.722,-70.199996948242188
2026-4-15 15:42:02.732,-70.199996948242188
2026-4-15 15:42:02.747,-70.099998474121094
2026-4-15 15:42:02.752,-70.199996948242188
2026-4-15 15:42:02.762,-70.099998474121094
2026-4-15 15:42:02.791,-70.199996948242188
2026-4-15 15:42:02.794,-70.199996948242188
2026-4-15 15:42:02.796,-70.199996948242188
2026-4-15 15:42:02.802,-70.199996948242188
2026-4-15 15:42:02.813,-70.199996948242188
2026-4-15 15:42:02.823,-70.099998474121094
2026-4-15 15:42:02.832,-70.199996948242188
2026-4-15 15:42:02.843,-70.099998474121094
2026-4-15 15:42:02.854,-70.300003051757812
2026-4-15 15:42:02.866,-70.199996948242188
2026-4-15 15:42:02.874,-70.199996948242188
2026-4-15 15:42:02.884,-70.199996948242188
2026-4-15 15:42:02.894,-70.199996948242188
